name,org,category,oss_triangle,license,scale,modalities,embodiment,task_type,format_access,cpu_feasibility,udos_fit,source_url,evidence,source_class
RoboMIND / RoboMIND 2.0,北京人形机器人创新中心 (X-Humanoid),真实机器人数据集,"{'code': '公开', 'weights': 'IL模型(DP/ACT)可下载', 'data': 'ModelScope/HF托管, 实际可下', 'actual_downloadable': True}",Apache 2.0,V1: 107K轨迹/4本体; V2.0: 310K+轨迹/6本体/739任务/129技能/~15.58TB; 含1.2万+触觉数据,"RGB-D, 本体状态, 动作, 语言, 触觉(V2), 力/力矩, 失败标签","Franka Panda, UR5e, AgileX Cobot Magic(双臂), 天工人形, V2新增2种","多本体桌面操作, 含失败数据","HDF5, LeRobot兼容格式",HDF5元数据可在CPU解析; 样本可在CPU加载; 全量需GPU,"{'module': 'wla(跨本体迁移核心参考) + ctm_engine(失败恢复建模) + digital_twin(高保真仿真资产)', 'entry_point': '多本体(单臂/双臂/人形)动作空间对齐→wla change-mask/VQ设计; 失败标签→ctm_engine异常检测; 仿真资产→digital_twin', 'priority': '高', 'reason': '少数带失败标签的多本体数据集, 含高保真仿真资产, 直接支撑wla跨本体迁移和digital_twin'}",https://www.modelscope.cn/datasets/X-Humanoid/RoboMIND2.0,"ModelScope页面+arXiv 2512.24653, 已验证下载量364万+",数据库
AgiBot World (智元),智元机器人 (AGIBOT),真实机器人数据集,"{'code': '公开', 'weights': 'IL模型权重可下载', 'data': 'HuggingFace托管, 实际可下', 'actual_downloadable': True}",开源许可(HF数据集页确认),"1,001,552轨迹; 2,976.4小时; 217任务; 87技能; 106场景; ~43.8TB(Beta)/~8.5TB(Alpha); 100+机器人采集","RGB(多相机), 深度, 本体状态, 动作, 语言, 视觉触觉, 6-DoF灵巧手",AGIBOT G1/G2 双臂人形,"双臂操作, 灵巧手, 长时序, 接触丰富","HDF5, LeRobot兼容",元数据可在CPU解析; 体量大; Alpha子集较小可在CPU浏览,"{'module': 'wla(人形双臂动作分词) + ctm_engine(长时序接触丰富任务) + world_model(世界模型训练集30K+轨迹)', 'entry_point': '双臂人形动作空间→wla动作分词维度设计; world_model模块已有30K+轨迹训练集参考; 灵巧手→neural_control末端', 'priority': '高', 'reason': '最大规模双臂人形真实数据集, 自带世界模型训练子集, 直接对应UDOS多模块'}",https://agibot-world.com/,"官方站+arXiv 2503.06669, HF页面已验证",数据库
Unitree Open Datasets + BitRobot-HIW-500,宇树科技 + BitRobot Foundation + HuggingFace,真实机器人数据集,"{'code': 'unitree_IL_lerobot框架开源', 'weights': 'DP/ACT模型权重可下载', 'data': 'HIW-500在HF实际可下; Unitree G1/Z1/UnifoLM-WBT数据集开源', 'actual_downloadable': True}",开源(具体见各数据集页); HIW-500 HF上公开,"HIW-500: 500+小时, 23,743轨迹, 11任务, 12东南亚家庭, ~10TB原始/~2.15TB LeRobot v3.0, 148K+子任务标注; Unitree: G1灵巧手/G1夹爪/Z1双臂/UnifoLM-WBT数据集","全身RGB, 关节状态, 全身动作, 子任务标注",Unitree G1人形(全身遥操作),"家庭移动操作, 双臂交互, 长时序家庭技能",LeRobot v3.0 (Parquet + MP4) for HIW-500,高 - LeRobot格式(Parquet元数据+MP4视频)可在CPU解析; 小样本可在CPU跑最小demo; 无需GPU即可浏览数据结构,"{'module': 'wla(全身动作分词-直接对应Unitree WLA机制) + ctm_engine(长时序家庭技能) + multi_agent(双臂协作)', 'entry_point': 'G1全身动作维度→wla VQ/RVQ动作分词直接参考; LeRobot v3.0格式→PCE-Format映射模板; 家庭场景→closed_loop环境', 'priority': '高', 'reason': '直接使用Unitree G1本体, 与UDOS WLA机制同源; LeRobot格式CPU友好; 真实家庭场景长时序'}","https://www.unitree.com/opensource/ , https://bitrobot-foundation.github.io/humanoids-in-the-wild-500-hours/","Unitree官方开源页+BitRobot官网+HF, 已验证",数据库
LeRobot 社区数据集 (HF lerobot),HuggingFace,真实机器人数据集(社区聚合),"{'code': 'Apache 2.0 (lerobot库)', 'weights': '部分模型权重', 'data': '100+社区数据集, HF托管, 实际可下', 'actual_downloadable': True}",各数据集独立(多为Apache/MIT/CC-BY),"100+数据集, 数千~数万示范, 多平台(SO-100/ALOHA/Franka等)","RGB(MP4), 本体状态(Parquet), 动作(Parquet), 部分语言",多种(低成本臂到人形),操作/移动操作/导航,LeRobot v3.0 (Parquet + MP4),很高 - Parquet元数据纯CPU可解析; MP4解码轻量; 小数据集可在CPU跑最小训练demo,"{'module': 'PCE-Format(LeRobot→PCE转换模板) + wla(跨本体动作标准化) + build_parametric_dataset(数据接入pipeline)', 'entry_point': 'LeRobot v3.0 schema→PCE-Format字段映射是最直接的格式转换模板; Parquet+MP4是CPU最友好的机器人数据格式', 'priority': '高', 'reason': 'CPU-only UDOS最易对接的格式标准; 社区数据集丰富; Parquet在CPU上高效解析'}",https://github.com/huggingface/lerobot,"官方GitHub+PyPI, 已验证",数据库
Ego4D,Meta + 国际联盟,真实机器人数据集(人类第一视角),"{'code': '公开', 'weights': '无(数据集为主)', 'data': '需签license(48h审批), AWS托管, 实际可下', 'actual_downloadable': True}","研究许可(非商用, 不可再分发)","3,670小时视频; 923参与者; 74地点; 9国家","RGB(头戴), 音频, 语音描述",人类(第一视角),"日常活动理解, 时序推理","AWS S3下载, JSON标注",标注JSON可在CPU解析; 视频抽帧可在CPU; 大规模训练需GPU,"{'module': 'ctm_engine(人类时序动力学先验) + world_model(第一视角物理先验) + latent_reasoner(人类活动理解)', 'entry_point': '人类日常活动时序模式→ctm_engine物理先验; 第一视角视频→world_model latent imagine参考', 'priority': '中', 'reason': '人类第一视角物理先验丰富, 但非机器人动作数据, 主要作先验知识来源'}",https://ego4d-data.org/,"官方站+arXiv 2110.07058, 需license审批已确认",数据库
Ego-Exo4D,Meta + 联盟,真实机器人数据集(人类第一/第三视角),"{'code': '公开', 'weights': '无', 'data': '需签license(~2天审批), 实际可下', 'actual_downloadable': True}",研究+商用许可(不可再分发),"1,286小时视频; 5,035 takes; 740参与者; 总~38.4TB / 默认~12.1TB","同步第一/第三视角RGB, 音频, 3D姿态, 米制坐标系",人类(双视角),"技能活动理解, 跨视角转换, 3D姿态估计","CLI下载器, 自定义格式",标注可在CPU解析; 视频抽帧CPU可处理; 体量大,"{'module': 'ctm_engine(多视角时序对齐) + spatial(米制3D坐标系标定) + world_model(技能活动先验)', 'entry_point': '同步ego/exo时间对齐→ctm_engine多视角融合; 米制坐标系→spatial模块参考', 'priority': '中', 'reason': '多视角同步标定数据对spatial模块有参考价值, 但非机器人动作数据'}",https://ego-exo4d-data.org/,"官方站+arXiv 2311.18259, license审批已确认",数据库
EPIC-KITCHENS,University of Bristol,真实机器人数据集(人类第一视角),"{'code': '公开', 'weights': '无', 'data': '公开下载, 实际可下', 'actual_downloadable': True}",非商业研究许可,"EPIC-100: 100小时, 45厨房, 20M帧, 89.9K动作, 4K动作类","RGB(头戴GoPro), 音频, 自叙述, 边界框",人类(第一视角厨房),厨房活动识别/检测,"Data.Bris服务器下载, JSON标注",标注CPU可解析; 视频抽帧CPU可行,"{'module': 'ctm_engine(厨房活动时序模式) + latent_reasoner(物体交互推理)', 'entry_point': '厨房操作动作序列→ctm_engine日常活动先验', 'priority': '低-中', 'reason': '厨房场景人类活动数据, 规模较小, 主要作常识先验'}",https://epic-kitchens.github.io/,"官方站+arXiv 1804.02748, 已验证",数据库
Something-Something v2,20BN / Qualcomm,真实机器人数据集(人类物体交互视频),"{'code': 'N/A', 'weights': '无', 'data': '需注册下载, 实际可下', 'actual_downloadable': True}",研究用途免费(非商用),"220,847短视频; 174动作类; 1,300+标注者",RGB视频(2-6秒片段),人手/物体交互,"动作识别, 物理常识",MP4视频文件,很高 - 短视频MP4解码CPU轻松; 纯CPU可处理,"{'module': 'ctm_engine(直觉物理/动作动力学) + world_model(物理常识)', 'entry_point': '物体交互物理直觉→ctm_engine物理先验; 短时序因果→world_model latent imagine参考', 'priority': '低', 'reason': '非机器人数据, 但动作-物体物理交互常识对world_model有参考价值; CPU友好'}",https://developer.qualcomm.com/software/ai-datasets/something-something,"Qualcomm官方页, 已验证",数据库
ALOHA / Mobile-ALOHA,Stanford,真实机器人数据集+硬件平台,"{'code': '公开(GitHub)', 'weights': 'ACT/Diffusion Policy训练代码', 'data': 'Google Drive/LeRobot, 实际可下', 'actual_downloadable': True}",开源(代码),静态ALOHA: ~825 episodes(来自RT-X); Mobile ALOHA: 50示范/任务; ALOHA Unleashed: 26K episodes,"RGB(多相机), 关节状态(14-DoF双臂), 移动底座速度",双臂ALOHA(2x6-DoF臂+夹爪); Mobile ALOHA加移动底座,"双臂桌面操作, 移动操作","HDF5, LeRobot格式",高 - HDF5元数据CPU可解析; LeRobot版本Parquet CPU友好; 规模小,"{'module': 'wla(双臂动作分词参考) + neural_control(低层控制器参考) + ctm_engine(双臂协调)', 'entry_point': '14-DoF双臂动作空间→wla动作分词维度; 低成本硬件方案→neural_control分层控制参考', 'priority': '中', 'reason': '双臂操作canonical格式, 规模小但格式清晰; HDF5/LeRobot双格式CPU友好'}",https://mobile-aloha.github.io/,"官方站+arXiv 2401.02117, 已验证",数据库
LIBERO,UC Berkeley / Sony AI,仿真任务库,"{'code': 'GitHub开源', 'weights': '预训练checkpoint可选', 'data': 'HDF5示范~40GB, 实际可下', 'actual_downloadable': True}",MIT,130任务(5套件: Spatial/Object/Goal/100); HDF5示范~40GB,"RGB-D, 本体状态, 语言(任务描述)",Franka Panda 单臂(MuJoCo),"终身学习, 知识迁移, 长时序操作",HDF5示范; MuJoCo仿真环境; RLDS fork,中 - MuJoCo可在CPU运行(较慢); HDF5元数据CPU可解析; 最小demo可在CPU跑,"{'module': 'curriculum(终身学习/知识迁移基准) + closed_loop(仿真评估参考) + selfplan(任务调度)', 'entry_point': '5个任务套件的终身学习设计→curriculum模块核心参考; 长时序任务序列→selfplan任务调度', 'priority': '高', 'reason': 'curriculum/self_evolution模块的直接对标基准; MuJoCo CPU可跑; 任务结构化好'}",https://github.com/Lifelong-Robot-Learning/LIBERO,"官方站+arXiv 2306.03310, 已验证",数据库
CALVIN,University of Freiburg,仿真任务库,"{'code': 'GitHub开源(MIT)', 'weights': '基线模型', 'data': 'ABCD split ~166GB, 实际可下', 'actual_downloadable': True}",MIT,"34任务; 1,000语言指令; 4环境(ABCD); ABCD split~166GB","RGB-D(多相机), 本体状态, 语言",Franka Panda + 平行夹爪,长时序语言条件操作,自定义HDF5/NumPy,中 - PyBullet/MuJoCo CPU可跑(慢); 数据元数据CPU可解析,"{'module': 'curriculum(长时序序列任务) + wm_scheduler(子任务调度) + latent_reasoner(语言条件规划)', 'entry_point': 'ABCD跨环境泛化→curriculum模块; 语言指令序列执行→wm_scheduler调度; 长时序→latent_reasoner', 'priority': '高', 'reason': '长时序语言条件操作的标杆benchmark, 直接对标UDOS的selfplan/wm_scheduler'}",https://github.com/mees/calvin,"官方站+arXiv 2112.03227, 已验证",数据库
ManiSkill / ManiSkill3,UC Santa Cruz (Hao Su Lab),仿真任务库,"{'code': 'GitHub开源(MIT)', 'weights': '基线RL模型', 'data': '2000+物体模型, 实际可下', 'actual_downloadable': True}",代码 MIT; 数据 CC-BY 4.0,20+任务族; 2000+物体模型; 4M+示范帧(v2),"RGB, RGBD, state-based","人形, 移动操作, 单臂(多种)","桌面操作, 灵巧操作, 绘图/清洁",SAPIEN仿真格式,低 - 并行仿真需GPU; CPU可跑单环境但极慢; 主要作架构参考,"{'module': 'digital_twin(合成数据生成架构) + spatial(SAPIEN物理参考) + build_parametric_dataset(并行数据收集架构)', 'entry_point': 'GPU并行环境架构→digital_twin设计参考; 2000+物体资产→spatial场景构建', 'priority': '中', 'reason': 'GPU密集型, CPU-only UDOS无法直接跑; 但并行合成数据架构和物体资产库有参考价值'}",https://github.com/haosulab/ManiSkill,"官方文档+arXiv 2410.00425, 已验证",数据库
RoboCasa / RoboCasa365,UT Austin / NVIDIA,仿真任务库,"{'code': 'GitHub开源(MIT)', 'weights': '基线模型', 'data': '厨房资产+示范数据, 实际可下', 'actual_downloadable': True}",代码 MIT; 数据 CC-BY 4.0,"365任务(RoboCasa365); 2,500厨房布局; 3,200+物体; 600+小时人类示范","RGB-D, 本体状态, 语言",PandaOmron 12-DoF移动操作臂(Franka+全向底座),"厨房日常任务, 家庭操作",robosuite (MuJoCo)格式,中 - MuJoCo可在CPU运行; 大规模环境慢; 元数据CPU可解析,"{'module': 'digital_twin(家庭仿真参考) + closed_loop(评估基准) + world_model(长时序家庭任务)', 'entry_point': '厨房场景布局→spatial/digital_twin场景构建; 365任务→curriculum任务库; MimicGen合成数据→build_parametric_dataset', 'priority': '中', 'reason': '家庭厨房场景丰富, 但底层robosuite(MuJoCo)CPU可跑; 任务量大适合curriculum'}",https://robocasa.ai/,"官方文档+GitHub, 已验证",数据库
RoboSuite,Stanford/UT Austin/ASU (ARISE Initiative),仿真任务库,"{'code': 'GitHub开源(MIT)', 'weights': 'N/A', 'data': 'N/A(框架为主)', 'actual_downloadable': True}",MIT,9-13核心任务; 多种机器人模型(Franka/Sawyer/UR5e/Kinova/Baxter/IIWA),"RGB, 本体状态, 低维物理状态",多种单臂/双臂,桌面操作基准,MuJoCo (MJCF),高 - MuJoCo原生CPU运行; 轻量; 可在CPU跑最小demo,"{'module': 'spatial/collision(MuJoCo物理参考) + neural_control(控制器抽象) + digital_twin(仿真后端参考)', 'entry_point': 'MuJoCo物理引擎作collision/spatial计算参考; 控制器抽象→neural_control分层; MJCF模型格式→digital_twin', 'priority': '高', 'reason': 'MIT许可, MuJoCo CPU可跑, 是UDOS最易直接对接的仿真后端; 控制器抽象设计参考'}",https://robosuite.ai/,"官方站+白皮书, 已验证",数据库
RLBench,University of Edinburgh,仿真任务库,"{'code': 'GitHub开源(MIT)', 'weights': 'N/A', 'data': '任务场景文件, 实际可下', 'actual_downloadable': True}",MIT,100+任务; 关键帧示范,"RGB-D(4视角128x128), 本体状态, 语言",7-DoF Franka Panda,"视觉操作, 多任务学习, 少样本学习",CoppeliaSim场景文件,中 - CoppeliaSim可在CPU运行; 但PyRep/C++编译复杂; 版本锁定4.1,"{'module': 'closed_loop(关键帧任务分解) + curriculum(100+任务) + wm_events(关键帧事件)', 'entry_point': '关键帧(keyframe)任务分解→wm_events事件建模参考; 100+任务→curriculum任务库', 'priority': '中', 'reason': '关键帧任务分解对wm_events有参考; 但CoppeliaSim环境配置复杂, CPU可跑但门槛高'}",https://github.com/stepjam/RLBench,"arXiv 1909.12271 + GitHub, 已验证",数据库
BEHAVIOR-1K,Stanford,仿真任务库,"{'code': 'GitHub开源', 'weights': '挑战基线checkpoint', 'data': '10K遥操作示范(HF LeRobot v3.0), 实际可下', 'actual_downloadable': True}",开源(具体见repo),"1,000家庭活动; 50场景; 10K遥操作示范(2025挑战, 50任务); 数据>30GB","RGB, 本体状态, 语言(BDDL一阶逻辑)","R1Pro人形(双臂+底座+躯干, 23-DoF动作)",家庭长时序活动(清洁/烹饪/整理),OmniGibson (Omniverse/USD); 示范LeRobot v3.0,低 - Omniverse需NVIDIA GPU; 无法在CPU运行; 示范数据元数据可在CPU解析,"{'module': 'world_model(BDDL一阶逻辑任务形式化) + curriculum(1000长时序任务) + digital_twin(富物理家庭仿真)', 'entry_point': 'BDDL文件→任务一阶逻辑形式化, world_model/wm_conservation参考; 1000活动→curriculum任务规模参考', 'priority': '中', 'reason': 'BDDL形式化对world_model任务建模有高参考价值; 但仿真需GPU, 不可直接跑'}",https://behavior.stanford.edu/,"官方站+GitHub StanfordVL/BEHAVIOR-1K, 已验证",数据库
Isaac Lab,NVIDIA,仿真任务库,"{'code': 'GitHub开源(BSD-3)', 'weights': '基线模型', 'data': '任务环境资产, 随Isaac Sim', 'actual_downloadable': True}",BSD-3-Clause(框架); Apache 2.0(mimic扩展),多种任务环境(移动/操作); GPU并行,"RGB, state, 本体状态",多种(人形/四足/臂),"强化学习, 模仿学习, 运动规划",USD/PhysX (Isaac Sim),很低 - 必须NVIDIA GPU + Isaac Sim; 完全无法在CPU运行,"{'module': 'digital_twin(GPU并行仿真架构参考) + multi_agent(并行环境) + neural_control(RL训练pipeline)', 'entry_point': 'GPU并行环境架构→digital_twin设计参考; 管理器模式API→neural_control分层', 'priority': '低', 'reason': 'CPU-only UDOS完全无法运行; 仅作大规模并行仿真架构参考'}",https://github.com/isaac-sim/IsaacLab,"NVIDIA官方+GitHub, 已验证",数据库
Objaverse / Objaverse-XL,Allen Institute for AI (Ai2),3D/空间资产,"{'code': 'Python API开源', 'weights': 'N/A', 'data': 'HuggingFace托管, 实际可下', 'actual_downloadable': True}",集合 ODC-By 1.0; 单个物体各CC许可(80%+ CC-BY/CC0),800K(v1) / 10.2M+(XL) 3D物体,"3D网格(GLB/OBJ), 渲染图像, 点云, caption",N/A(物体资产),"3D物体检索/生成, 场景构建","GLB/OBJ, Python API下载",高 - 可在CPU下载单个物体; 网格解析CPU可行; API轻量,"{'module': 'spatial/scene_graph(物体资产库) + occupancy(物体几何) + digital_twin(仿真3D资产)', 'entry_point': '室内物体子集→scene_graph场景构建资产; 网格几何→occupancy/碰撞检测; GLB格式→digital_twin仿真资产', 'priority': '高', 'reason': 'CPU可访问的最大开源3D物体库; 直接为spatial/digital_twin提供物体资产; CC许可友好'}",https://objaverse.allenai.org/,"官方站+CVPR 2023论文, 已验证",数据库
ScanNet,Stanford,3D/空间资产,"{'code': 'MIT(GitHub)', 'weights': 'N/A', 'data': '需签使用协议, 实际可下', 'actual_downloadable': True}",数据: 非商业研究; 代码: MIT,"1,513场景; 2.5M视图","RGB-D视频, 3D相机位姿, 表面重建, 语义分割",N/A(室内场景重建),"3D场景理解, 语义分割, 配准",".sens格式, PLY网格",中 - 网格解析CPU可行; 语义标注可CPU处理; RGB-D处理轻量,"{'module': 'spatial/occupancy(室内场景几何) + scene_graph(语义场景图) + digital_twin(真实场景重建)', 'entry_point': '室内3D重建→occupancy场参考; 语义标注→scene_graph构建; PLY网格→digital_twin场景资产', 'priority': '中', 'reason': '室内场景3D重建对spatial模块有参考; 非商业许可限制商用'}",http://www.scan-net.org/,"官方站+CVPR 2017论文, 需协议已确认",数据库
Matterport3D,Matterport,3D/空间资产,"{'code': 'N/A', 'weights': 'N/A', 'data': '需注册Matterport账号, 实际可下', 'actual_downloadable': True}",非商业学术研究,"90建筑(原版); ~200K RGB-D图像; HM3D扩展1,000空间","RGB-D, 3D网格, 相机位姿, 语义标注, 平面图",N/A(建筑级场景),"室内导航, 场景理解","OBJ/GLB网格, JPG纹理",中 - 网格加载CPU可行; 可视化轻量; 建筑级体量需注意内存,"{'module': 'spatial/scene_graph(建筑级空间理解) + occupancy(平面几何) + digital_twin(大规模场景资产)', 'entry_point': '建筑级平面图→occupancy/spatial_query参考; 完整室内场景→digital_twin大尺度环境', 'priority': '中', 'reason': '建筑级场景资产对spatial_query有参考; 非商业许可; HM3D(1000场景)规模更大'}",https://matterport.com/partners/meta,"官方页+arXiv 1709.06158, 需注册已确认",数据库
PhysBrain Ego360,DeepCybo / 中关村人工智能研究院,特殊关注(人类全景第一视角),"{'code': 'PhysBrain项目页有代码', 'weights': 'PhysBrain模型权重 Apache 2.0 (HF公开)', 'data': 'Ego360数据集本身: 未找到公开下载链接', 'actual_downloadable': False}",模型: Apache 2.0; Ego360数据集: 未公开,未公开(论文中作为训练数据源引用[ref 37]),"全景视频, 全身姿态, 手部运动, 任务级语音",人类(全景第一视角),"日常活动, 工具使用, 人-物交互, 长时序任务",未公开,未知 - 数据集未确认公开,"{'module': 'ctm_engine(人类全景先验) + world_model(全景物理先验)', 'entry_point': '若开放, 全景多视角人类活动→ctm_engine/world_model物理先验', 'priority': '低', 'reason': 'Ego360数据集未确认公开下载; PhysBrain模型权重开源但Ego360数据本身不可得'}","https://zgc-embodyai.github.io/PhysBrain/ , https://deepcybo-physai.github.io/PhysBrain-1.5",[UNVERIFIED] arXiv 2512.16793/2609.14973引用Ego360但无公开下载链接; HF有模型权重集合但Ego360数据未独立发布,数据库
RoboMimic / MimicGen,Stanford / NVIDIA,仿真任务库(补充),"{'code': 'GitHub开源', 'weights': '基线IL算法', 'data': 'RoboMimic数据集(HDF5); MimicGen 50K+合成示范', 'actual_downloadable': True}",RoboMimic: MIT; MimicGen代码: NVIDIA SCL; 数据: CC-BY 4.0,RoboMimic: ~1000示范/任务 x 3质量档(PH/MH/MG); MimicGen: 50K+合成示范(从~200人类示范生成),"RGB(腕部+第三方), 本体状态, 物体位姿, 动作","Franka Panda, Sawyer, UR5e, 双臂Panda","模仿学习基准, 合成数据生成","HDF5, robosuite/MuJoCo",中 - HDF5元数据CPU可解析; MuJoCo CPU可跑; 合成数据生成流程CPU可行(慢),"{'module': 'build_parametric_dataset(合成数据生成pipeline参考) + ctm_engine(多质量档示范) + closed_loop(IL评估)', 'entry_point': 'MimicGen从少量示范自动生成大量数据→build_parametric_dataset合成pipeline直接参考; HDF5格式→PCE转换', 'priority': '中', 'reason': '合成数据生成pipeline对build_parametric_dataset模块有直接参考; HDF5 CPU友好; MIT许可'}","https://robomimic.github.io/ , https://mimicgen.github.io/","官方站+GitHub, 已验证",数据库
MimicGen,NVIDIA Seattle Robotics Lab / UT Austin,动作生成/模仿 (data generation from human demos),"代码✅ NVlabs/mimicgen (2024-07 release)；权重❌ (BC policy 训练式, 不发基础模型权重)；数据✅ 50K+ generated demos on project site, source human demos","代码: NVIDIA Source Code License (NSCL, 商用需审查)；数据集: CC-BY 4.0","50,000+ demonstrations generated from <200 human demos across 18 tasks; 12+ task variants; multi-sim","low-dim state, RGB (agent+wrist), object poses, subtask segmentation; 无语言","Franka Panda, Rethink Sawyer, UR5e, bimanual Panda (robosuite MuJoCo + Isaac Gym Factory)",tabletop manipulation (Lift/Can/Square/Transport/ToolHang/NutAssembly/Assembly 等),"HDF5 (robomimic format), robosuite environment; pip install -e . + robomimic + robosuite","数据 HDF5 解析/子任务分段逻辑可 CPU 阅读; 完整数据生成 pipeline 依赖 MuJoCo/Isaac, Isaac 需 GPU; 对 UDOS 主要作架构参考 (subtask segmentation + SE(3) pose transform + rejection sampling)","{'module': 'ctm_engine / wla', 'entry': 'subtask segmentation + bridge interpolation 可类比 wla 的动作三分组(末端位姿/末端关节/下肢)分段; SE(3) pose transform 可作 spatial 层跨状态重标注参考', 'priority': '中'}",https://mimicgen.github.io/ ; https://github.com/NVlabs/mimicgen ; https://arxiv.org/abs/2310.17596,官方一手 (project site + docs license 页),动作库
DexMimicGen,NVIDIA Research / UT Austin / UC San Diego,动作生成/模仿 (bimanual dexterous data generation),代码✅ NVlabs/dexmimicgen；权重❌；数据✅ 20K+ bimanual demos on project site,"继承 NVlabs 系 (NSCL 代码 / CC-BY 数据, 未在搜索中直接读到单独 LICENSE, [UNVERIFIED] 具体条款)","20,000+ bimanual dexterous demonstrations from 60 source human demos across 9 tasks","low-dim state, RGB, per-arm subtask segmentation; 无语言","bimanual dexterous robots (humanoid-scale, 双臂+灵巧手)",bimanual contact-rich dexterous manipulation (Can Sorting/Tray Lift/Transport/Piece Assembly/Pouring/Drawer Cleanup/Threading 等),"HDF5 (robomimic-compatible), IsaacGym/MuJoCo envs",per-arm subtask segmentation + synchronization 策略可作架构参考; 训练/仿真需 GPU,"{'module': 'wla (双臂协调分组)', 'entry': 'per-arm independent subtask + synchronization/ordering constraint 可直接类比 wla 对双臂动作的 change-mask 分组与 flow 解码时序约束', 'priority': '中'}",https://dexmimicgen.github.io/ ; https://github.com/NVlabs/dexmimicgen ; https://arxiv.org/abs/2410.24185,官方一手 (project site) + arXiv,动作库
RoboMimic,ARISE Initiative (Stanford / UT Austin / ASU),动作模仿学习框架与基准数据集,"代码✅ ARISE-Initiative/robomimic; 权重❌ (baseline policy 可训, 不发预训练基础模型); 数据✅ 9 个标准数据集公开下载","MIT (代码与数据均宽松, 可商用/修改/再分发)",6 task suites (Lift/Can/Square/Transport/ToolHang/NutAssembly); ~1000 demos/task × 3 数据质量 (PH/MH/MG); 约 30-60 GB on disk,"RGB (agent+wrist), low-dim proprio state, object poses, action chunks; HDF5","Franka Emika Panda, Rethink Sawyer (simulated in robosuite/MuJoCo); 含 real-world Panda 子集",tabletop imitation learning benchmark (BC/BC-RNN/Diffusion Policy baseline),HDF5 (episode + multi-agent + obs/action sequences); robosuite MuJoCo backend,HDF5 纯 CPU 解析/统计/可视化完全可行; 训练 BC 在 CPU 小模型上可跑 (但官方规模需 GPU); 是 UDOS 最易直接吃格式的数据集,"{'module': 'ctm_engine / wla / closed_loop', 'entry': 'HDF5 episode 格式 + PH/MH/MG 三档质量划分可作 UDOS 离线动作数据 schema 参考; BC-RNN/Diffusion Policy 的 action chunk 可作 wla flow decoder 时序窗对照', 'priority': '高'}",https://robomimic.github.io/ ; https://github.com/ARISE-Initiative/robomimic ; https://arxiv.org/abs/2108.03298,官方一手 (docs + 多源交叉确认 MIT),动作库
AnyTeleop,UC San Diego / NVIDIA (Yuzhe Qin),视觉遥操作系统 (vision-based arm-hand teleop),"代码✅ yzqin/anyteleop (及衍生 dexsuite/dex-retargeting); 权重❌; 数据❌ (系统本身不发数据集, 只发采集 pipeline)",衍生 dex-retargeting 为 MIT; AnyTeleop 主仓 license [UNVERIFIED] 未在搜索中直接读到 LICENSE 文件,"支持多臂多手 (Allegue/Shadow/ADROIT 等), 单目 RGB 追踪; 非数据集规模","RGB (手眼/第三人称), 手部关键点, 末端位姿; 无深度依赖",跨臂 (Franka/UR5e 等) + 跨灵巧手 (Allegro/Shadow 等); sim (IsaacGym/SAPIEN) + real,"遥操作数据采集 (vision-only, 无手套)",Python ROS/非ROS pipeline; 输出为关节轨迹/末端位姿,人手关键点检测需 GPU; 重定向优化 (IK) 可 CPU; 对 UDOS 主要是 hand retargeting 几何参考,"{'module': 'wla (末端位姿组) / spatial', 'entry': ""vision-only hand retargeting 的 keypoint->joint 映射可作 wla '末端位姿组' 在异构手上的几何对齐参考; dex-retargeting 优化器可作空间几何验证 baseline"", 'priority': '中'}",https://yzqin.github.io/anyteleop/ ; https://arxiv.org/abs/2307.04577 ; https://github.com/dexsuite/dex-retargeting,论文+项目页; 主仓 LICENSE [UNVERIFIED],动作库
UCH (Unified Controller for Heterogeneous hands),[UNVERIFIED] 未在公开检索中定位到明确以此缩写命名的开源仓库/论文,重定向/异构手统一控制 (用户归类),[UNVERIFIED] 未找到对应 GitHub/项目页,[UNVERIFIED],[UNVERIFIED],[UNVERIFIED],异构灵巧手 (推测),跨手统一控制 (推测),[UNVERIFIED],"[UNVERIFIED] 若指 UniDexTok (22-DoF semantic interface UDHM, 跨手共享 codebook) 则其 tokenizer 思想可直接对标 wla RVQ","{'module': 'wla (VQ/RVQ)', 'entry': ""若指 UniDexTok/UCAG-P 类统一异构手动作 tokenizer, 则其 '不做 MANO->robot retarget, 而是统一到 22-DoF 语义接口 + 共享 codebook' 思路是 wla RVQ 跨本体迁移的直接参考"", 'priority': '中 (待用户澄清具体所指)'}","https://unidex-ai.github.io/ (近邻工作, 非同名项目)",[FETCH FAILED / UNVERIFIED] 同名项目未命中,动作库
